common_name,scientific_name,size_feet,firewise_rating,firewise_rating_code,firewise_rating_label,landscape_zone,slug
allegheny serviceberry,Amelanchier laevis,25',Firewise (1),1,Firewise,LZ2,amelanchier-laevis
allegheny spurge,Pachysandra procumbens,1',AT RISK Firewise (3),3,At Risk Firewise,LZ1,pachysandra-procumbens
alpine currant,Ribes alpinum,3',AT RISK Firewise (3),3,At Risk Firewise,LZ2,ribes-alpinum
American beautyberry,Callicarpa americana,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,callicarpa-americana
American beech,Fagus grandifolia,100.0',Firewise (1),1,Firewise,LZ3,fagus-grandifolia
American chestnut,Castanea dentata,40',AT RISK Firewise (3),3,At Risk Firewise,LZ3,castanea-dentata
American devilwood,Osmanthus americanus,25',NOT Firewise (4),4,Not Firewise,LZ3,osmanthus-americanus
American elm,Ulmus americana,100.0',Firewise (1),1,Firewise,LZ3,ulmus-americana
American hazelnut,Corylus americana,8',AT RISK Firewise (3),3,At Risk Firewise,LZ2,corylus-americana
American holly,Ilex opaca,50',AT RISK Firewise (3),3,At Risk Firewise,LZ3,ilex-opaca
American mountain-ash,Sorbus americana,15',Firewise (1),1,Firewise,LZ3,sorbus-americana
American plum,Prunus americana,15',AT RISK Firewise (3),3,At Risk Firewise,LZ2,prunus-americana
American wisteria,Wisteria frutescens,40',NOT Firewise (4),4,Not Firewise,LZ3,wisteria-frutescens
amur honeysuckle,Lonicera maacki,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,lonicera-maacki
amur maackia,Maackia amurensis,35',Firewise (1),1,Firewise,LZ3,maackia-amurensis
amur maple,Acer ginnala,15',Firewise (1),1,Firewise,LZ3,acer-ginnala
Anglojapanese yew,Taxus xmedia,6',NOT Firewise (4),4,Not Firewise,LZ2,taxus-xmedia
apple,Malus pumila,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-pumila
apple,Malus sylvestris,20',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,malus-sylvestris
apple serviceberry,Amelanchier x grandiflora,25',Firewise (1),1,Firewise,LZ2,amelanchier-x-grandiflora
arborvitae,Thuja occidentalis,15',NOT Firewise (4),4,Not Firewise,LZ3,thuja-occidentalis
Arizona cypress,Cupressus arizonica var. arizonica,50',NOT Firewise (4),4,Not Firewise,LZ3,cupressus-arizonica-var-arizonica
Arnold's Promise witchhazel,Hamamelis x intermedia 'Arnold's Promise',6',MODERATELY Firewise (2),2,Moderately Firewise,LZ3,hamamelis-x-intermedia-arnolds-promise
arrowwood viburnum,Viburnum lentago,12',AT RISK Firewise (3),3,At Risk Firewise,LZ2,viburnum-lentago
Atlas cedar,Cedrus atlantica,50',NOT Firewise (4),4,Not Firewise,LZ3,cedrus-atlantica
aurora dogwood,Cornus x 'Rutban',25',Firewise (1),1,Firewise,LZ3,cornus-x-rutban
Austrian pine,Pinus nigra,50',NOT Firewise (4),4,Not Firewise,LZ3,pinus-nigra
autumn olive,Elaeagnus umbellata,15',NOT Firewise (4),4,Not Firewise,LZ3,elaeagnus-umbellata
baldcypress,Taxodium distichum,100.0',NOT Firewise (4),4,Not Firewise,LZ3,taxodium-distichum
balsam fir,Abies balsamea,60',AT RISK Firewise (3),3,At Risk Firewise,LZ4,abies-balsamea
bamboo,Phyllostachys spp.,15',NOT Firewise (4),4,Not Firewise,LZ4,phyllostachys-spp
banana,Musa spp.,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,musa-spp
banana shrub,Michelia figo,10',AT RISK Firewise (3),3,At Risk Firewise,LZ2,michelia-figo
basswood,Tilia americana,50',Firewise (1),1,Firewise,LZ3,tilia-americana
bay,Persea borbonia,15',AT RISK Firewise (3),3,At Risk Firewise,LZ3,persea-borbonia
beaked hazelnut,Corylus cornuta,8',13,,13,LZ2,corylus-cornuta
Beale's mahonia,Mahonia bealei,8',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,mahonia-bealei
bearberry,Arctostaphlos uva-ursi,<1',Firewise (1),1,Firewise,LZ2,arctostaphlos-uvaursi
beautybush,Kolkwitzia amabilis,12',AT RISK Firewise (3),3,At Risk Firewise,LZ3,kolkwitzia-amabilis
Big-leaf holly,Ilex montana,10',MODERATELY Firewise (2),2,Moderately Firewise,LZ2,ilex-montana
bigleaf magnolia,Magnolia macrophylla,30',AT RISK Firewise (3),3,At Risk Firewise,LZ3,magnolia-macrophylla
bird cherry,Prunus avium,50',Firewise (1),1,Firewise,LZ3,prunus-avium
