id,term,definition,sort_order,updated_at,updated_by
8a2d16cd-7fe4-4be6-a6a8-1b0fcb0ffd1a,Deciduous shrub,"A woody, generally multi-stemmed plant that loses its leaves and becomes dormant during the winter. WSU",1,2025-12-08T22:40:10.968Z,import-script
3a0221a7-6b4a-4f3a-a90e-0ed43c0f3281,Deciduous tree,"A tree that sheds its leaves at the end of a growing season and regrows them at the beginning of the next growing season. Most deciduous trees bear flowers and have woody stems and broad, rather than needle-like, leaves. WSU",2,2025-12-08T22:40:10.969Z,import-script
c9964f2a-6b7d-4f33-ac5d-123cf318bc0f,Deer resistant,"Deer will eat any plant if hungry enough but if general forage options are favorable, they usually don't eat the plant identified as ""deer-resistant"".",3,2025-12-08T22:40:10.969Z,import-script
26cc6c44-d852-48c0-afb8-63b22956c202,Drought,"A period of relatively long duration with substantially below-normal precipitation, usually occurring over a large area (WSU)",4,2025-12-08T22:40:10.969Z,import-script
fd6ec26b-6199-4140-86f2-d503fe1335ee,Drought tolerance,"Drought tolerance is the ability to which a plant maintains its biomass production during arid or drought conditions. (Wikipedia)\n ""Generally speaking, there are three major strategies employed by plants to survive annual drought conditions: desiccation tolerance; drought avoidance; and drought tolerance."" https://ucanr.edu/blogs/blogcore/postdetail.cfm?postnum=28129",5,2025-12-08T22:40:10.969Z,import-script
6c24ae58-5f13-4fb7-b690-45401e8eeeaf,Evergreen shrub,"A woody, multi-stemmed shrub that retains its leaves throughout the year. WSU",6,2025-12-08T22:40:10.969Z,import-script
33e7df1e-cac9-4cce-93d7-8fb3152c100e,Flammability,"Flammability refers to the ability of a plant to ignite and transfer heat and/or flames to surrounding plants or structures. Plants are flammable for different reasons; some plants are highly ignitable, but burn quickly. Other plants are not easily ignitable, but can burn for a long time once ignited. Flammability is comprised of four components:\nIgnitability: The time to ignition once exposed to an ignition source such as an ember or flame.\nSustainability: The duration a plant will sustain a fire.\nCombustibility: The rate of spread and rate of heat (or energy) given off from a burning plant.\nConsumability: The percent of a plant consumed in a fire. (https://edis.ifas.ufl.edu/publication/fr151)",7,2025-12-08T22:40:10.969Z,import-script
b29c18c0-4bae-4b5d-9f39-c499676b3de0,Flammable plant,"Plants that are ""flammable"" generally have several of these characteristics: contain fine, dry, or dead material within the plants, such as twigs, needles, and leaves; leaves, twigs, and stems contain volatile waxes, terpenes, or oils; leaves are aromatic (strong odor when crushed). OSU 2006  The flammability of a plant is reduced if it contains a lot of salt, soap, latex, and/or pectins. (Idaho Firewise)",8,2025-12-08T22:40:10.969Z,import-script
7ba236d9-c1b8-4014-b71a-ae977979b8d9,Fire-reluctant plant,"Fire-reluctant plants are those that are slow to ignite when exposed to a heat source and once ignited are slow to propagate fire spread. A ""fire resistant plant"" can be defined the same, but in fire ecology, fire resistance refers to a plant that is adapted to fire by protective features such as thick bark or has the ability to reestablish after fire.\nFire-reluctant and fire resistant plants usually have high moisture content, high salt and saponin content, and low volatile oil and resin content. Other characteristics that contribute to flammability are age, size, total volume, and amount of dead material retained within and under the plant.",9,2025-12-08T22:40:10.969Z,import-script
97a0faed-dd29-4fa1-afac-19e54b33e8e7,Fire-resistant plant,"(1) High fire resistance means decreased flammability; (2) a species with….less flammable foliage that has a relatively lower probability of being killed or scarred by a fire than a fire sensitive [plant]. (National Wildfire Coordinating Group). (3) so resistant to fire that for a specified time and under conditions of a standard heat intensity it will not fail structurally or allow transit of heat and will not permit the side away from the fire to become hotter than a specified temperature. (Merriam Webster)\n""Fire-resistant plants are those that do not readily ignite from a flame or other ignition sources.  ...they tend to produce fewer embers, the ost common causefor homes burning in wildfires.  Their foliage and stems do not significantly contribute to fuel and fire intensity."" (OSU, October 2023).",10,2025-12-08T22:40:10.969Z,import-script
ae84695f-9641-445b-ac33-543819dd1d70,Fire safe or firewise plant,"See ""fire-reluctant"" and ""fire-resistant"" plant.These plants are slower to ignite when exposed to heat and usually do not burn quickly. When they burn, they release energy more slowly.",11,2025-12-08T22:40:10.969Z,import-script
1278b2da-8edb-45d9-9ffd-cb76b26db413,Groundcover,"A low-growing or trailing group of plants usually used to cover bare earth and create a uniform appearance. (WSU)   Groundcover provides protection of the topsoil from erosion and drought. In an ecosystem, the ground cover forms the layer of vegetation below the shrub layer known as the herbaceous layer. Wikipedia",12,2025-12-08T22:40:10.969Z,import-script
9188ca36-f494-4504-85ce-920a7c515cc1,Hardiness Zone,"A hardiness zone is a geographic area defined to encompass a certain range of climatic conditions relevant to plant growth and survival. The original and most widely used system was developed by the United States Department of Agriculture (USDA) as a rough guide for landscaping and gardening. The hardiness zones for the Rogue Valley are 7a,b and 8 a,b as evident on the USDA Plant Hardiness Map for Oregon https://www.gardeningknowhow.com/wp-content/uploads/2004/10/oregon_map+_lg.gif .\nFor a more thorough discussion on the hardiness zones attributed in this spreadsheet go to page 5 the OSU Fire-resistant Plants for Home Landscapes (ref 2). \nAccording to OSU's 2007 Garden Guide for the Rogue Valley, ""The most suitable choices are ""plants that need dry, hot summers and moist, but only moderately cold winters.""\nhttps://www.grit.com/farm-and-garden/understanding-zones/ for link to zone map",13,2025-12-08T22:40:10.969Z,import-script
ec1afe74-a1a2-454a-abbb-ad66f9add646,Heat Zone,https://www.grit.com/farm-and-garden/understanding-zones/,14,2025-12-08T22:40:10.969Z,import-script
