usda_symbol,scientific_name,common_name,family,states,habit,duration,height,spread,light,water,soil_moisture,bloom_time,bloom_color,leaf_retention,native_status,distribution,habitat,wildlife,propagation,bloom_notes,conditions_comments,fruit_type,soil_description,state
ABGR,Abies grandis,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Part  Shade ,  Shade",Medium,"Dry ,  Moist","Apr ,  May","White ,  Green",Evergreen,L48,USA:,"Low,  wooded  hills  &  valleys  near  the  coast",,Description:,,,Caryopsis,Well-drained  soils.,OR
ABLA,Abies lasiocarpa,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,"western  true  fir,  with  dense,  long-pointed,  spirelike  crown  and  rows  of  horizontal  branches  reaching  nearly  to  base;  shrubby  at  timberline.","Sun ,  Part  Shade ,  Shade",Medium,Moist,"Apr ,  May","White ,  Green",Evergreen,L48,USA:,Mts.  above  8000  ft.,Provides  valuable  cover  for    birds  and  small  mammals.,Description:,,Subalpine  fir  is  disease  and  insect  resistant.    It  fir  has  been  extensively  collected  in  the  wild  at  great  detriment  to  the  species  and  its,Caryopsis,"Moist  to  dry,  gravelly  or  sandy  loams.",OR
ABPR,Abies procera,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,of  47'  (14  m).,Sun,Low,Moist,"Apr ,  May","White ,  Green",Evergreen,L48,USA:,"Well-drained,  sunny  areas  from  3000-5000  ft.",,Description:,,"Slow-growing  to  90  ft.,  noble  fir  adapts  well  to  garden  culture.",Caryopsis,"Well-drained,  mesic  soils.",OR
ACCI,Acer circinatum,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,"25-30  feet,  can  reach  40  ft  or  larger,  spread  25-35  feet.  Multiple  stems.",25-35  feet.  Multiple  stems.,"Part  Shade ,  Shade",Medium,Moist,"Mar ,  Apr ,  May","White ,  Red ,  Green ,  Purple",Deciduous,L48,USA:,Moist  woods;  stream  banks,"The  seeds  of  this  and  other  maples  are  consumed  by  songbirds,  game  birds,  and  large  and  small  mammals.",Propagation Material:,Reddish  or  purple,This  plant  will  tolerate  drier  situations.    It  often  propagates  vegetatively  by  layering  and  sometimes  forms  dense  thickets.,Caryopsis,Moist  soils.,OR
ACCO4,Aconitum columbianum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Shade,High,Moist,"Jul ,  Aug","Blue ,  Purple",,L48,USA:,Moist  woods;  stream  banks;  wet  thickets,"Flowers  attract  bumblebees,  hawkmoths  and  hummingbirds.",Description:,,,Caryopsis,"Moist,  rich  soils.",OR
ACGL,Acer glabrum,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,".    Though  inconspicuous,  the  early  spring  flowers  of  this  maple  are  quite  fragrant.  Its  shiny,  green,",Sun,Low,,"Apr ,  May","Yellow ,  Green",Deciduous,L48,USA:,Wooded  hills;  ravines  along  streams;  above  4500  ft.,"Deer,  elk,  cattle,  and  sheep  browse  the  foliage.",Description:,Usually,Though  not  as  handsome  as,Caryopsis,"Moist,  well-drained,  rocky  soils.",OR
ACHY,Achnatherum hymenoides,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Low,Dry,"Jun ,  Jul ,  Aug ,  Sep","Yellow ,  Green",Deciduous,L48,USA:,Dry  grasslands;  deserts,Wildlife  forage.    Seeds  are  sought  by  birds  and  small  mammals.,Description:,,Indian  ricegrass  is  very  drought  tolerant  and  useful  in  land  reclamation  projects.    Remove  old  clumps  to  allow  self-sown  seedlings  room  to  develop.    This  grass  can  be  mowed  to  8  in.  in  early  fall.,Caryopsis,"Deep,  sandy  or  rocky  soils.",OR
ACMA3,Acer macrophyllum,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,"30-100  feet,  spread  30-50  feet  or  more,  diameter  2  to  4  ft.","ing  or  drooping  branches  and  the  largest  leaves  of  all  maples.  Big-leaf  maple  is  usually  a  20-75  ft.  tree.    Though  it  occasionally  reaches  100  ft.,  it  is  generally  much  smaller  in  cultivation.    Lateral  branches  soar  upward  from  the  massive,  squat  trunk,  becoming  huge,  vertical  limbs  in  older  specimens.    The","Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","Apr ,  May","Yellow ,  Green ,  Brown",Deciduous,L48,USA:,Higher  altitude  stream  banks  &  moist  canyons;  below  5000  ft.,"Important  forage  for  deer,  squirrels  and  other  wildlife.",Propagation Material:,Flowers  follow  leaves  in  Spring.,This  plant  needs  a  spacious  setting.    Underplanting  is  often  difficult.    The  high  productivity  of  seeds  can  make  this  an  invasive  species.,Caryopsis,"Cool,  moist  soils.",OR
ACTR,Achlys triphylla,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"ing  ground  cover.    Large  leaves,  divided  into  three  leaflets,  rise  at  close  intervals  from  underground  runners  and  are  long-lasting.    Stalks,  less  than  8  in.  high,  produce  numerous  tiny,  petalless,  whitish  flowers  clustered  together  in  a  narrow,  fluffy  spike.  Pairs  of  low  slender  stalks  grow  in  patches,  one  stalk  actually  a","Part  Shade ,  Shade",,Moist,"Apr ,  May ,  Jun ,  Jul",White,,L48,USA:,"Moist,  coastal  forests;  stream  banks",,Description:,,Vanilla  leaf  can  crowd  out  other  plants  but  does  not  compete  well  with  more  vigorous  ground  covers.,Caryopsis,"Moist,  rich  soils.",OR
ADPE,Adiantum pedatum,,". If you are not sure what you are looking for, try the","OR,WA",Fern,Perennial,,their,"Part  Shade ,  Shade",Medium,Moist,,Not  Applicable,Deciduous,L48,USA:,"Moist,  cool,  rich  woods  &  shaded  areas,  especially  northern  exposures,  with  neither  little  nor  too  much  moisture.  Rocky  seeps  and  springs  especially.",Provides  shelter  for  toads  and  lizards.,Propagation Material:,Not  a  flowering  plant.  Reproduces  by  spores.,Likes  moist  but  not  wet  sites.  Will  not  survive  drying  out.  Keep  evenly  moist  year-round.,,"Rich,  moist,  well-drained  soils,  mostly  acidic  but  can  tolerate  some  lime.",OR
