code,trait,list_source
FS,Prefers full sun (6 or more hours),List 4
FS-PS,Prefers full sun to part shade,List 4
FSh,Prefers full shade (6 or more hours). Avoid afternoon sun.,List 4
VLWU,Very low water-use plant; performs well in dry sites,List 4
LWU,Low water-use plant; performs well with minimal supplemental irrigation,List 4
MWU,Moderate water-use plant; performs well with supplemental irrigation,List 4
BF,Attracts butterflies,List 4
B,Attracts birds,List 4
DR,Deer-resistant,List 4
RG,Performs well in rock gardens,List 4
FS,Full Sun At least 8 hrs. of unobstructed sun daily,List 6
PS,Part Shade 3-5 hrs of sun daily,List 6
<2,Less than 2' tall - Grows 2 feet tall or less,List 6
M,Moderate Water twice a week,List 6
L,Low Water Once a week,List 6
VL,Very Low Water every 7-14 days,List 6
DW(7-10),Deep water Water trees every 7-10 days,List 6
DW(10-14),Deep water Water trees every 10-14 days,List 6
EM,"Extra maintenance Require more than annual pruning, winter protection, sprayng for pests, etc.",List 6
TS,Temperature Sensitive Zones 5 & 6 require warmer climate; not conducive to outlying valleys and foothills,List 6
Bees,Indicates habitat or food source,List 6
Birds,Indicates habitat or food source,List 6
Butterflies,Indicates habitat or food source,List 6
CF,Cut Flowers Useful as a cut or dried flower in flower arranging,List 6
FC,Fall color eave turn color during the fall months,List 6
UT,Utility tree Height of tree at maturity will not interfere with overhead utility lines,List 6
N,Native Plant is native to Nevada,List 6
>30,Within 30 feet of house - Use only as specimen plant within 30 feet of house; use more extensively outside this area,List 6
C,Coast,List 20 & 22
D,Desert,List 20 & 22
I,Inland,List 20 & 22
M,Mountain,List 20 & 22
(R),Riparian- is often used to refer to the vegtation at the sides of a river or creek.,List 20 & 22
UNDERLINE,Underline indicates plants with low to modertate watering requirements,List 31
N,Indicates the plant is native to California,List 31
*,Shade tolerant or prefers shade,List 31
C,Coastal,List 20 & 22
I,"Inland, Coastal",List 20 & 22
M,Mountain,List 20 & 22
D,Desert,List 20 & 22
R,Ripirian,List 20 & 22
R,"Least drought tolerant plants on the list. These plants grow best in ripen areas. Riparian areas can be described as areas where the water table is very near the surface of the ground. Although the ground may be dry, the plants growing there will be green and lush all year around",List 29
Zone 1,The area directly adjacent to your home. These plants are highly fire resistant and are planted 0-30 feet from house,List 35
Zone 2,"The ""greenbelt"", low growing, low fuel ground covers resistant to fire and are planted 30-70 feet from your house",List 35
Zone 3,"Low fuel volume perennials and shrubs, less combustible than the native plants in zone 4. These are planted 70-100 feet from house",List 35
Zone 4,"The outer most area, consisting of existing native vegetation which has been thinned to reduce fuel volume and create transitional area betweem the natives and plants around your home.",List 35
10,Drip line to Structure (ft),List 54
30,Drip line to Structure (ft),List 54
D,Deciduous,List 54
E,Evergreen,List 54
